Quantity,Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
1.0,4567.0,44.0,1.0,36.8476300590569,19.094182475639247,5.0,5.0,9.0,1970.0,0.036122292,2.0,2.0,24.0,4378.0,0.0,1036.0,1.0,1.0,2.0
1.0,5925.0,62.0,1.0,42.49390721216511,42.56813259970031,10.0,7.0,17.0,2017.0,0.072157581,2.0,2.0,2.0,629.0,1.0,990.0,0.0,0.0,1.0
1.0,960.0,27.0,2.0,59.46367829288154,33.04364537215483,9.0,19.0,19.0,1977.0,0.211401214,2.0,2.0,9.0,1892.0,0.0,990.0,0.0,1.0,2.0
1.0,3848.0,23.0,3.0,49.64602982741851,33.89382537068284,6.0,2.0,2.0,1965.0,0.014072961,2.0,2.0,2.0,475.0,0.0,990.0,0.0,0.0,2.0
1.0,746.0,74.0,1.0,53.83705552291424,33.04364537215483,1.0,8.0,17.0,1977.0,0.309479124,2.0,2.0,35.0,7715.0,4.0,990.0,0.0,6.0,2.0
1.0,868.0,38.0,3.0,87.13999445192246,53.18041881361226,10.0,4.0,23.0,2011.0,0.060753049,2.0,2.0,15.0,2787.0,2.0,1074.568,0.0,7.0,2.0
1.0,672.0,62.0,1.0,46.26945562647919,22.82023936961452,11.0,8.0,17.0,2014.0,0.072157581,2.0,2.0,2.0,629.0,1.0,990.0,0.0,0.0,1.0
1.0,2471.0,2.0,2.0,48.172968708932885,29.9242044182394,6.0,4.0,9.0,1974.0,0.0,2.0,2.0,33.0,7425.0,1.0,990.0,2.0,5.0,2.0
1.0,4510.0,1.0,1.0,43.15376113882693,21.017595539577567,9.0,10.0,17.0,2014.0,0.007122317,2.0,2.0,1.0,264.0,0.0,990.0,0.0,1.0,2.0
1.0,8354.0,62.0,2.0,62.5937866412943,33.04364537215483,10.0,1.0,16.0,1981.0,0.002211665,2.0,2.0,39.0,7614.0,3.0,990.0,1.0,5.0,1.0
1.0,6393.0,8.0,1.0,41.49650853339136,21.66420918533763,7.0,4.0,17.0,2009.0,0.072157581,2.0,2.0,23.0,5735.0,3.0,1084.0,0.0,5.0,2.0
1.0,13270.0,9.0,3.0,80.59947151905445,33.04364537215483,1.0,4.0,1.0,1977.0,0.161531741,2.0,2.0,25.0,5648.0,1.0,1074.568,2.0,4.0,2.0
1.0,5250.0,96.0,4.0,87.77638168144794,33.04364537215483,10.0,8.555,24.0,2014.0,0.041116354,2.0,2.0,53.0,14892.0,4.0,990.0,1.0,4.0,2.0
